Startup Name,Industry,Business Description,Company Website,Number of Presenters,Pitchers Average Age,Started in,Pitchers State,Yearly Revenue,Monthly Sales,Gross Margin,Net Margin,Original Ask Amount,Original Offered Equity,Valuation Requested,Received Offer,Accepted Offer,Total Deal Amount,Total Deal Equity,Total Deal Debt,Deal Valuation,Has Patents
KetoIndia,Food,Customised Keto Diets for various Medical/Health issues,https://www.ketoindia.fit/,1,Young,,Delhi,180,,,,150,1.25,12000,1,0,,,,,
Magiclock,Hardware,LPG Cylinder lock,http://www.magiclockdc.com/,3,Middle,,,,0.04,,,120,8,1500,0,,,,,,
TheStatePlate,Food,Delicacies,https://thestateplate.com/,2,Young,2020,Multiple-States,,40,,,65,2,3250,1,1,40,3,25,1333,
Bakarmax,Technology/Software,Comics & Animation,https://bakarmax.com/,2,Young,2020,Delhi,35,,,,35,5,700,0,,,,,,
INACAN,Food,Can Cocktails,https://inacan.in/,3,Middle,2020,Maharashtra,,23,,,50,2,2500,1,1,100,10,,1000,
Get-A-Whey,Food,Sugar-Free Icecream,https://getawhey.in/,2,Middle,2018,Maharashtra,360,0.25,69,,100,8,1250,1,1,100,15,,667,
Sid07Designs,Hardware,Inventions,https://sid07designs.com/,1,Young,2018,Jammu & Kashmir,,1,,,47,10,470,1,1,25,75,22,33,
TheQuirkyNaari,Beauty/Fashion,Customised Apparels,https://thequirkynaari.com/,1,Young,2018,Uttar Pradesh,,3,,,35,5,700,1,1,35,24,,146,
HairOriginals,Beauty/Fashion,Natural Hair Extensions,https://www.hairoriginals.in/,3,Middle,2019,Haryana,,50,62,,60,2,3000,1,1,60,4,,1500,
Poo-de-Cologne,Beauty/Fashion,Toilet Spray with Essential Oils,https://www.poodecologne.com/,1,Middle,,Maharashtra,,0.75,150,,75,5,1500,0,,,,,,
Moonshine,Food,Meads,https://www.moonshinemeadery.com/,2,Middle,2018,Maharashtra,372,,70,,80,0.5,16000,1,0,,,,,
Falhari,Food,Fresh Fruits salads,https://falhari.com/,3,Middle,2015,Haryana,,1,25,,50,2,2500,1,0,,,,,
NamhyaFoods,Food,Ayurvedic Enriched Food,https://namhyafoods.com/,1,Young,2019,Jammu & Kashmir,,16,34,,100,5,2000,1,1,50,10,50,500,
UrbanMonkey,Beauty/Fashion,Streetwear,https://www.urbanmonkey.com/,1,Young,2014,Maharashtra,,200,25,,100,1,10000,1,0,,,,,
GuardianGears,Manufacturing,Motorcycle Luggage bags,https://guardiangears.in/,2,Middle,2018,Telangana,2500,21,50,,30,5,600,1,0,,,,,
ModernMyth,Beauty/Fashion,Bags Slings Clutches Handbags Totes Laptop Bags Travel Essentials Pouches Trunks & Gifting,https://www.modernmyth.in/,2,Young,2019,Delhi,,14,,,75,5,1500,0,,,,,,
TheSassBar,Beauty/Fashion,Gifts Soaps,https://www.thesassbar.com/,1,Young,2021,Maharashtra,,7,65,,40,8,500,1,1,50,35,,143,
KGAgrotech,Agriculture,Agricultural Innovations,,2,Young,2014,Maharashtra,,,,,30,10,300,1,1,10,40,20,25,
NuskhaKitchen,Food,Homemade after delivery Foods,https://nuskhakitchen.com/,2,Middle,2019,Rajasthan,,1.45,,,20,10,200,0,,,,,,
PawsIndia,Animal/Pets,Dog Products,https://pawsindia.com/,1,Young,2016,Maharashtra,,20,,,50,4,1250,1,1,50,15,,333,
SunfoxTechnologies,Medical/Health,Portable ECG Device,https://www.sunfox.in/,4,Young,2016,Uttarakhand,120,5,,,100,2,5000,1,1,100,6,,1667,
Alpino,Food,Roasted Peanut butter Products,https://alpino.store/,4,Young,2016,Gujarat,1000,,38,,150,2,7500,1,0,,,,,
IsakFragrances,Beauty/Fashion,Perfumes Fragrances,https://isakfragrances.com/,1,Young,2016,Uttar Pradesh,,3.5,,,50,8,625,1,1,50,50,,100,
JulaaAutomation,Manufacturing,Automatic Cradle,https://www.automaticjulaa.com/,3,Middle,2022,Gujarat,0,,,,50,10,500,0,,,,,,
RarePlanet,Manufacturing,Handicrafts,https://rareplanet.in/,2,Middle,2015,West Bengal,,12,,,65,1,6500,1,1,65,3,,2167,
ThekaCoffee,Food,Coffee Products,https://thekacoffee.com/,1,Young,2018,Gujarat,180,4,,,50,10,500,0,,,,,,
WattTechnovations,Medical/Health,Ventilated PPE Kits,https://www.watttechnovations.com/,1,Young,2020,Maharashtra,,,,,0.00101,2,0,1,1,0.00101,4,,0,
AlisteTechnologies,Technology/Software,Automation Solutions,https://www.alistetechnologies.com/,6,Young,2020,Uttar Pradesh,,7.5,40,,60,5,1200,1,0,,,,,
InsuranceSamadhan,Services,Insurance Solutions,https://www.insurancesamadhan.com/,3,Middle,2016,Uttar Pradesh,,22,,,100,1,10000,1,1,100,4,,2500,
HumpyA2,Food,Organic Milk A2 Products,https://humpyfarms.com/,3,Middle,2017,Maharashtra,208,,44,,75,4,1875,1,1,100,15,,667,
KunafaWorld,Food,Kunafa food products,https://www.kunafaworld.com/,2,Young,2018,Karnataka,200,30,30,,90,5,1800,0,,,,,,
GoldSafeSolutions,Manufacturing,Anti-Suicidal Fan Rod,https://www.goldlife.co.in/,2,Middle,2017,Maharashtra,50,,25,,50,5,1000,1,1,50,30,,167,
WakaoFoods,Food,Jackfruit Products,https://wakaofoods.com/,1,Middle,2021,Goa,,6,,,75,5,1500,1,1,75,21,,357,
PDDFalcon,Manufacturing,Stainless Steel Items,https://falconproducts.co.in/,2,Young,2018,Gujarat,272,,30,,75,3,2500,1,0,,,,,
PlayBoxTV,Services,Streaming Platform,https://playboxtv.in/,2,Young,2017,Maharashtra,1020,,,,100,3.5,2857,1,0,,,,,
Sippline,Manufacturing,Portable Glass Attachment Drinking Shields,https://www.sippline.com/,1,Middle,2019,Maharashtra,,,,,75,15,500,0,,,,,,
KabaddiAdda,Sports,All-Kabaddi App,https://www.kabaddiadda.com/,2,Middle,2019,Karnataka,250,,,,80,1,8000,1,1,80,6,,1333,
ShadesofSpring,Services,Flowers,https://shadesofspring.in/,2,Young,2019,Karnataka,900,,29,,300,1,30000,0,,,,,,
Scholify,Education,Scholarship Platform,https://scholifyme.com/,1,Middle,,Karnataka,0,,,,50,7.5,667,0,,,,,,
Scrapshala,Manufacturing,Handmade Reusable Scrap Materials,https://scrapshala.com/,2,Middle,2016,Uttar Pradesh,,2,,,50,10,500,0,,,,,,
Sabjikothi,Manufacturing,Vegetables Storage SaptKrishi,https://www.saptkrishi.com/,2,Young,,Bihar,0,,,,60,2.5,2400,0,,,,,,
AyuRythm,Medical/Health,Ayurvedic Wellness App,https://www.ayurythm.com/home/,3,Middle,2016,Karnataka,,,,,75,2,3750,1,1,75,2.68,,2799,
Astrix,Manufacturing,Smart Locks Qtouch,https://www.astrixengineering.com/,2,Middle,2021,Tamil Nadu,,18,,,75,3,2500,0,,,,,,
TheaandSid,Services,Proposal Solutions,https://theaandsid.com/,2,Middle,2021,Maharashtra,16,10,75,,80,7,1143,0,,,,,,
ExperentialEtc,Technology/Software,Technology layered advertisement services,https://www.experientialetc.com/,2,Middle,2017,Maharashtra,100,,,,200,4,5000,1,0,,,,,
GrowFitter,Technology/Software,Rewards App,https://www.growfitter.com/,2,Middle,2016,Maharashtra,170,,,,50,1,5000,1,1,50,2,,2500,
C3Med-Tech,Medical/Health,Portable ophthalmic vision devices,https://c3prototypes.com/,2,Middle,2019,Gujarat,,,,,35,6,583,1,0,,,,,
ColourMeMad-CMM,Beauty/Fashion,Insoles,https://yourfootdoctor.in/,2,Middle,2017,Maharashtra,,0.66,,,40,10,400,1,1,40,25,,160,
Mavi's,Food,Vegan Fermented Food,https://mavispantry.com/,2,Middle,2018,Maharashtra,,2,,,40,5,800,0,,,,,,
TweekLabs,Sports,Sportswear,https://www.tweek-labs.com/,4,Middle,2019,Delhi,,,,,40,2,2000,1,1,60,10,,600,
Proxgy,Technology/Software,Virtual Reality,https://www.proxgy.com/,2,Middle,2020,Delhi,,,,,35,1,3500,1,1,100,10,,1000,
NomadFoodProject,Food,Bacon Jams Relishes,https://nomadfoodproject.com/,2,Young,2019,Multiple-States,,3,70,,40,10,400,1,1,40,20,,200,
TweeInOne,Beauty/Fashion,Reversible and convertible clothing,https://tweeinone.com/,1,Young,2017,Maharashtra,,,,,30,7.5,400,0,,,,,,
GreenProtein,Food,Plant-Based Protein,https://greenprotein.co.in/,2,Middle,2019,Maharashtra,,12,40,,60,2,3000,1,0,,,,,
On2Cook,Food,Fastest Cooking Device,https://on2cook.com/,1,Middle,,,0,,,,100,1,10000,0,,,,,,
JainShikanji,Food,Lemonade,https://jainshikanjimasala.com/,1,Middle,2017,Uttar Pradesh,,2,,,40,8,500,1,1,40,30,,133,
Woloo,Technology/Software,Washroom Finder,https://woloo.in/,3,Middle,2020,,108,,,,50,4,1250,1,0,,,,,
ElcareIndia,Medical/Health,Carenting for Elders,https://elcare.co/,3,Middle,2021,Maharashtra,60,,30,,100,2.5,4000,0,,,,,,
SneaKare,Beauty/Fashion,Shoe Sneaker kits storage crates,https://sneakare.com/,1,Young,2020,Delhi,,7,,,20,5,400,1,1,21,12,,175,
FrenchCrown,Beauty/Fashion,Clothes,https://frenchcrown.in/,2,Middle,2017,Gujarat,7200,,70,,150,0.33,45455,1,0,,,,,
StoreMyGoods,Services,Storage solutions,https://storemygoods.in/,3,Middle,2020,Uttar Pradesh,100,,,,100,1.75,5714,1,1,50,4,50,1250,
